data 2021-01-22 09:47:26 , accessi 217 , mappa:  182 , grafico:  117 , downdati:  117 , downgrafico:  117
data 2021-01-22 09:50:32 , accessi 217 , mappa:  183 , grafico:  117 , downdati:  117 , downgrafico:  117
data 2021-01-22 09:51:13 , accessi 217 , mappa:  184 , grafico:  117 , downdati:  117 , downgrafico:  117
data 2021-01-22 09:53:49 , accessi 217 , mappa:  184 , grafico:  118 , downdati:  117 , downgrafico:  117
data 2021-01-22 09:53:50 , accessi 217 , mappa:  184 , grafico:  118 , downdati:  118 , downgrafico:  117
data 2021-01-22 09:53:50 , accessi 217 , mappa:  184 , grafico:  118 , downdati:  118 , downgrafico:  118
data 2021-01-22 09:55:11 , accessi 217 , mappa:  184 , grafico:  119 , downdati:  118 , downgrafico:  118
data 2021-01-22 09:55:11 , accessi 217 , mappa:  184 , grafico:  119 , downdati:  119 , downgrafico:  118
data 2021-01-22 09:55:11 , accessi 217 , mappa:  184 , grafico:  119 , downdati:  119 , downgrafico:  119
data 2021-01-22 09:56:12 , accessi 217 , mappa:  184 , grafico:  120 , downdati:  119 , downgrafico:  119
data 2021-01-22 09:56:12 , accessi 217 , mappa:  184 , grafico:  120 , downdati:  120 , downgrafico:  119
data 2021-01-22 09:56:12 , accessi 217 , mappa:  184 , grafico:  120 , downdati:  120 , downgrafico:  120
data 2021-01-22 09:56:58 , accessi 217 , mappa:  184 , grafico:  121 , downdati:  120 , downgrafico:  120
data 2021-01-22 09:56:59 , accessi 217 , mappa:  184 , grafico:  121 , downdati:  121 , downgrafico:  120
data 2021-01-22 09:56:59 , accessi 217 , mappa:  184 , grafico:  121 , downdati:  121 , downgrafico:  121
data 2021-01-22 09:57:34 , accessi 217 , mappa:  184 , grafico:  122 , downdati:  121 , downgrafico:  121
data 2021-01-22 09:57:34 , accessi 217 , mappa:  184 , grafico:  122 , downdati:  122 , downgrafico:  121
data 2021-01-22 09:57:34 , accessi 217 , mappa:  184 , grafico:  122 , downdati:  122 , downgrafico:  122
